parameter;throughput;+-;sndresponsetime;+-;sndreponsetimeupper;+-;recresponsetime;+-;responsetimeupper;+-
10;664.7195075996046;1.39448964115;22.6761588451078;0.971874587296;184.70474872937677;55.2570786755;11.157892426685953;0.534619566257;107.32139459393694;30.4021189801
20;1201.7970087031892;10.0461604592;25.15689713830101;2.07834400943;230.75910881757432;99.153638371;12.516291510815174;0.417904489879;144.03874784820022;25.211799182
30;1552.8986142239507;35.9047275499;27.829500868896144;0.0831562067624;232.28836135542258;21.1750961485;14.938438911257322;0.707561371333;157.78109103913297;12.127825863
40;1713.4624570330363;10.9025603804;32.84718729485969;0.838548948515;271.8417425649533;39.4177558426;18.574061189513912;0.884440502827;186.31660954339807;50.9327625004
50;1847.6424720017849;64.3298924442;36.25177399630931;1.71899958592;295.2767821957327;38.786309513;22.318480063474766;1.26083993601;194.57359425589834;45.0072747161
60;1922.6738434293654;48.8034349134;40.73781807066637;0.41300381821;295.4229400830537;13.2653862469;26.82180146898349;1.22506492024;233.90509204625542;33.730981591
70;1950.334500414834;88.5881929726;44.41046203624207;1.12870793804;306.1904901164114;39.4779471606;31.28701154237911;1.95570822567;234.0956247334431;39.7603525458
80;1951.909167590411;41.5138397291;46.8243996301185;2.26155115999;333.4999965161561;48.606100449;37.59532174644115;2.17563295591;268.15888979164674;35.1005874896
90;1862.849463518628;83.6063881382;50.49304010187196;1.07284835914;342.0990907260793;44.185199594;46.57442074713661;3.803610991;317.74368969472033;32.4000699612
100;1776.980676430372;213.386522126;56.60202395641013;3.94946793047;390.5178406844631;92.7397895688;55.592843726380266;10.1620442138;352.027471583675;74.735815114
