time;throughput;snd_responsetime;rcv_responsetime
60;117.0;67.2349836286;40.6938221585
61;2.0;2363.327507;2360.902525
62;675.0;223.405053648;64.5363581775
63;1582.0;24.8895404307;15.8253683014
64;1666.0;24.6498942228;14.2556576606
65;1678.0;23.960992925;14.8749662361
66;1842.0;23.094575483;12.5450018994
67;1605.0;23.991447424;15.8081819552
68;1202.0;22.6944134608;12.9999963841
69;2.0;3822.650511;3832.029458
70;2.0;3824.547731;3823.048149
71;2.0;3824.454689;2.344231
72;894.0;165.51336496;103.110360461
73;1644.0;25.7552837083;14.359213609
74;1660.0;24.6807431071;14.7974270649
75;1718.0;23.9868904763;13.8687058103
76;1795.0;23.5814765765;13.25763079
77;636.0;24.2103851442;13.6011540499
78;766.0;74.4036517375;58.7395340651
79;1762.0;22.9395503086;13.9428338739
80;1693.0;23.7639975106;13.6266353804
81;1655.0;24.0925896061;15.1406341545
82;1161.0;32.63680339;21.0892935992
83;1575.0;24.3439396861;16.0406231755
84;1797.0;23.3488916277;13.4637313806
85;1637.0;25.4246531627;14.7307178239
86;1533.0;24.4461726189;13.9537660781
87;2.0;3786.856278;3788.830434
88;2.0;3787.029482;3785.807715
89;2.0;3788.914185;3790.093475
90;162.0;1113.80101374;328.997370894
91;1797.0;23.8514031312;14.2845615849
92;2049.0;20.1051962261;11.6048682531
93;1877.0;21.3460165893;12.5901766744
94;1723.0;22.7453441599;14.7338372767
95;1637.0;24.7002712718;14.9706461257
96;1610.0;24.3925402034;15.423395912
97;1672.0;24.2400680777;14.2399260705
98;1737.0;23.8943097801;14.1147133853
99;1706.0;23.0169764098;14.5163564652
100;656.0;32.9932412824;17.8870826136
101;2.0;3792.717037;3796.852358
102;2.0;3800.154255;3798.982105
103;2.0;3794.324363;3795.644605
104;1060.0;195.396171826;57.8955528393
105;1482.0;29.082304521;16.6822352416
106;1816.0;23.2859017028;13.3058091698
107;1783.0;22.8445923383;13.5056343814
108;1526.0;23.7631090157;13.0956435815
109;350.0;133.084403293;70.4116102906
