parameter;throughput;+-;sndresponsetime;+-;sndreponsetimeupper;+-;recresponsetime;+-;responsetimeupper;+-
5;355.88237089879823;0.575905326164;20.928999441142746;0.793034097636;118.11126481831498;68.0710932389;10.561279519845678;0.420373986926;87.06801356230153;39.8183819727
10;663.9650155652038;1.48040464458;22.213062075989075;0.837217133057;161.48193699938216;45.7949197691;11.42374315414357;0.423925311127;122.02940675081713;24.8048602678
15;926.7031638419986;2.77853538817;24.62982969310822;0.564047313213;239.12818084515;16.5200258378;11.889504767582954;0.245441665742;126.41456552552812;19.2834812091
20;1167.8363912954683;6.15696291169;25.18153186854777;1.24025760197;229.56211607024002;41.2371984919;12.996852961081759;0.53897604814;153.15878004988585;28.5476749411
25;1391.6599214532978;9.09438377805;26.100781338092833;0.416324349267;219.95447422388898;19.5663149865;13.79308399443408;0.345412515336;144.49575252656007;7.67497670407
30;1508.404835841362;7.96981522261;28.2396906700432;1.1040081861;234.4170675477344;53.837457338;15.545513525675004;0.595688251506;153.86792785695897;32.6923621352
35;1626.8687183486497;15.9799276047;30.1986558783817;1.15112836351;239.04663987606725;41.5435267338;16.97381907103076;0.479020069821;159.96010879898012;28.5259841246
40;1690.5373337728213;38.3667639068;32.728041938046196;1.00062389643;259.16060772556347;51.5546390981;18.84829970648369;1.20200356974;170.55154227116975;37.122985259
45;1730.5401244590032;51.6187933989;35.227436205476785;0.499091984131;277.6575893405628;37.6979807849;21.058276772231842;1.29085036208;193.70568860785946;47.3373539533
50;1769.0268487043131;35.4610901069;37.606744107942056;2.53571554939;305.3990669281953;54.4350682455;23.320221328313732;0.375906186336;214.6914729197455;60.3039719467
55;1814.1150219330111;47.3414322404;39.82215599982576;0.517684603469;305.50795916276087;31.4526344678;25.274521105396587;1.23853429459;224.1022717575478;30.3940609789
60;1881.1878261668428;100.277124041;40.83635746352481;1.48462558247;364.60570848948583;64.543778486;26.62992243626233;2.19531527013;224.01220659833723;81.0310751817
70;1840.3161147262692;63.054110277;46.910225737436456;1.42771565194;334.98841442705833;27.1258936926;33.96318928598525;1.99502275154;266.6462641401209;28.4408104693
80;1808.8608105023343;22.0816795096;50.725416392301014;2.02196064003;323.27591794309654;87.2580636092;40.14352759782332;0.132995265748;270.72110627879374;29.9959850391
90;1670.0097244126982;94.0517891724;59.23612176391608;1.79895619639;363.4553901509036;21.120957143;49.84331140680755;3.83502394125;308.7543903675032;17.4621715636
100;1696.1023948426289;222.196393873;63.45968319740345;3.2648382839;365.9077581409694;39.5175291413;54.81606610394789;9.82920537027;333.83610928884247;32.7342304758
