parameter;throughput;+-;sndresponsetime;+-;sndreponsetimeupper;+-;recresponsetime;+-;responsetimeupper;+-
10;556.1460081453034;65.00841047;106.5738738345545;9.82046594096;423.50421836537754;86.1503185197;98.2800322954361;13.2856485356;375.4581923433787;61.1649945592
20;882.0602037031443;8.46602814966;71.57059956946075;1.99115556392;420.3997166761291;55.4155300923;63.30069310853529;0.524165017052;384.4169232273319;80.5732637985
30;1153.8472606710145;9.36935811901;54.69929141820316;1.38772529613;345.0669178407011;20.8218485775;49.31220311666785;0.126531874034;305.5831386421812;48.8581131441
40;1615.42756405398;22.229007826;42.58010344082041;1.35454912428;308.08187387044376;71.8616865349;33.12732145155462;1.73648221533;276.4069415549934;16.0058837518
50;1809.805212004592;25.3878206316;40.64880106512086;0.745734051905;297.236044725757;32.3039828445;28.983242118527944;0.359715101225;241.06376048975176;12.221915073
60;1880.5752049250611;42.7930066964;41.60478557474769;1.97306197474;303.80288691880713;36.3147160289;26.621646697105792;0.613450579221;221.75076426208636;34.6606552122
70;1843.5519982609576;145.527890297;42.9306640469164;4.22305179385;374.6191504032392;100.723455298;26.62667648585699;0.335548314026;223.17104212769883;26.1248464987
80;1879.7914807333045;49.6918767103;42.370609339401604;2.49006654256;292.8435281694248;64.9333714731;26.386677678092013;0.427933501536;204.6342171379516;39.8649596658
90;1866.5097191086097;184.612922717;42.44073413657883;2.67227438257;290.10285012425624;51.1484242054;26.33818018943082;1.43021740119;218.25808709868951;33.5093130929
100;1893.5030715187295;8.294338527;42.55920442728556;1.12399569482;290.3024731240409;43.3613141039;25.861043786831193;0.695091681532;209.14016922367088;26.8980400084
