parameter;throughput;+-;sndresponsetime;+-;sndreponsetimeupper;+-;recresponsetime;+-;responsetimeupper;+-
10;622.567237516786;13.4504124905;24.33134078338938;1.23783655047;234.4927762595067;39.5273432887;12.057889708560651;0.676526625726;149.82607290687608;32.6041441613
20;1021.2423486832695;5.80368485852;28.771879114924;2.01136935019;324.7138492473359;65.7170007873;14.887638743817199;0.993335737794;218.90796963153335;45.2017925762
30;1236.5899306908152;0.99637462088;34.3682052200528;4.38601782426;449.65090225671776;103.762578376;19.147779930072122;1.85707098281;326.55443757106747;113.075410486
40;1328.56519126732;8.92940395772;41.602363486101;2.11041143793;565.7976116778729;125.157388692;23.818229058064592;0.318350843227;417.4928181576974;8.91973029055
50;1398.4475123509237;13.4982391206;50.80314177978918;6.05749085409;695.4326076587525;146.688367617;28.3429888656525;1.98427275077;445.84981563369837;91.9691046507
60;1429.2710609148842;47.74755601;57.86063514454844;7.25143887206;777.6026854170997;255.314975132;33.20722935257246;3.3868105464;518.2096759947917;87.2472713993
70;1388.3937432412997;11.8222396997;67.8096770492498;6.98111627943;845.4520860020949;184.218104919;41.6955944057843;2.88660770769;596.9968023330799;94.884600623
80;1458.6009026353677;40.4632875612;71.6701887374996;8.16725276909;865.7106183660276;300.994881906;45.89055835468642;2.29502216377;629.5396981726734;87.1832564903
90;1432.1639847972972;57.6225841901;81.24376637537134;5.27941566383;920.5834765779309;211.737256059;53.782553992437805;6.28612112441;707.8901248453823;157.489744096
100;1405.2220434008789;69.1395154506;90.76148037120483;6.9942525937;1070.067050750845;122.418801565;60.73650034043582;5.63450464954;794.4127753708902;225.429978584
