time;throughput;snd_responsetime;rcv_responsetime
60;1597.0;25.9441449178;14.8805148955
61;861.0;27.389702439;18.2198239477
62;1321.0;55.8881507585;18.8674399499
63;1681.0;24.9701400726;14.1662252608
64;1786.0;24.3473744319;12.8237955777
65;1633.0;24.5030403846;15.2205444287
66;1829.0;23.5275401784;12.3677404704
67;1718.0;25.244739007;13.5053242212
68;1789.0;22.9845903642;13.4965560008
69;1673.0;25.124055073;13.6529607579
70;1768.0;23.1995254949;14.1870814678
71;1708.0;25.6174527088;13.4362517144
72;1736.0;23.8897015206;13.0058956863
73;1745.0;24.7560705329;14.0744067404
74;1862.0;23.1991198864;12.3715188213
75;1713.0;25.081120841;13.5773760636
76;1779.0;24.6825058463;12.7055850505
77;1640.0;26.472889942;14.078314489
78;1763.0;23.7696295625;12.9985774432
79;1680.0;26.0305644304;14.2612471224
80;1816.0;23.4821846003;13.0199781796
81;459.0;24.0383074653;12.4002973651
82;2.0;3783.370627;1.762157
83;2.0;3788.379863;2.317
84;2.0;3783.330064;1.723781
85;1503.0;195.304679283;33.011212986
86;1899.0;21.4122054742;12.3442639754
87;1717.0;23.456953898;13.9051975288
88;1295.0;26.4586880334;20.6381467745
89;1310.0;28.0356478404;19.1961270761
90;1544.0;26.2732205074;14.969183979
91;1745.0;24.4723634764;13.2728933287
92;1756.0;23.1370682201;13.3244016769
93;1856.0;23.9958580113;12.7782464499
94;1741.0;24.3202512671;13.4869786837
95;1813.0;22.3403875977;13.1165928842
96;1237.0;23.3002329;14.9336557509
97;659.0;89.85061815;42.7289412073
98;1763.0;23.4492648305;13.6718214207
99;1801.0;23.9074536067;12.9048242264
100;1189.0;36.7764743005;19.205791802
101;1756.0;24.4697220593;12.9640596209
102;1817.0;23.4192138694;13.1163926947
103;1760.0;23.5316466446;13.6258363814
104;1766.0;24.6110760239;13.1233420941
105;1790.0;23.5982639232;13.202011649
106;513.0;22.3747247976;12.4115724522
107;2.0;3800.759919;2.935897
108;2.0;3800.139011;1.35483
109;2.0;3799.537608;2.728114
110;1716.0;96.410245414;65.7489883988
111;1331.0;25.5715486555;16.6484967817
112;1630.0;28.2744931352;16.7657111312
113;1807.0;23.6594984743;13.1143354228
114;1919.0;22.1931581215;12.172373805
115;1677.0;24.9681081161;14.0183410278
116;1552.0;22.821331383;12.4653753237
