parameter;throughput;+-;sndresponsetime;+-;sndreponsetimeupper;+-;recresponsetime;+-;responsetimeupper;+-
5;368.3390595844621;9.18325730729;20.454668451722153;1.02141384118;178.6541476661357;27.3269408642;9.829699023760552;0.171313310247;102.18914529493473;27.4342184734
10;638.8390438702216;2.45060722186;24.064568039646744;0.927650600749;256.5648233010182;36.0922782143;11.5676348658727;0.415606378817;144.49932730383418;35.6941251872
15;879.201768540342;13.7350018072;25.29181482161744;0.0600341212022;301.4000125428931;64.477299309;12.761082678096079;0.416434856183;187.90569516925788;41.1721201648
20;1023.2646529900935;49.244953183;28.3258732566006;2.91023635222;358.5494475199793;92.700988251;14.708937816555048;1.23758195685;227.15511302095763;68.759983603
25;1149.5497170616163;18.4344795671;31.812353934578994;1.95888422825;429.48311465279477;117.933770732;16.872584033217688;1.34934763713;276.5624004328643;52.680082379
30;1249.5491257843635;42.3999556132;33.325783649491456;2.6072444538;425.66158229258707;119.416865159;19.239417521412012;1.03800181006;322.3681137418867;55.746760261
35;1288.7569548595045;58.4258328379;36.96390567720294;2.71515582451;496.81825684963815;115.479299668;21.854904708516614;0.883029995246;378.0900328942386;40.4357524452
40;1346.216885849946;27.9260783641;40.76098038143496;3.30153792423;512.1254368191461;80.0990509062;23.900895174227703;2.11535174965;390.4670510982167;117.563839185
45;1406.7366683430591;43.2309195902;42.64874211223404;2.54213482377;532.2266408271729;126.301623158;26.57881177478252;1.21724482801;430.01879752792007;33.6432638114
50;1413.4927447984908;45.4141990817;48.15692813559699;2.81849923068;642.6262539445673;85.6333999071;29.267591014715098;1.55519449283;458.52119363192287;42.7188700032
55;1392.936946917277;121.756219084;51.18653769582866;2.85116968797;669.1812455397509;142.155836036;32.796437962018565;3.16729543419;530.2565330534632;133.039235365
60;1339.4907975018796;19.9964563014;57.57435376227625;2.91348458776;721.3227090619126;52.4916405065;37.21932734344601;0.786206913509;588.0092720052808;86.8405088544
70;1387.964804099974;49.8038007805;63.62777384173836;3.05449643039;794.1666842668714;181.845671025;43.76877421755247;2.94312553143;619.4501449397276;38.5791091263
80;1341.0488922195782;30.8526320484;72.94492194964947;6.67252778427;851.1008054594469;151.434712503;53.27403848413855;5.1352530904;665.7563613681989;78.0480481133
90;1337.178032843183;78.2788898432;78.69959837729874;4.19642026018;858.6610200933732;33.2637753038;59.475600695329184;3.58867428265;723.6935137295499;25.9081732662
100;1353.5857186437986;10.9485937625;83.38313496798706;2.22921338014;860.9248797458935;58.8566081344;66.83191000033493;1.21382863162;766.8423889775612;31.7822829882
