parameter;throughput;+-;sndresponsetime;+-;sndreponsetimeupper;+-;recresponsetime;+-;responsetimeupper;+-
10;540.2452098676725;65.6581651757;111.44829424737925;15.8496557963;593.1620649776678;94.3505484526;100.77049011518109;10.4578812364;531.3831713141368;29.5199233988
20;930.15953542338;28.1760161931;69.64042207690859;1.86858606356;645.7731462417009;147.606889074;59.082518118510684;0.617799033216;607.7313563785392;79.7356287606
30;1139.8445338436572;36.6065100608;59.105518211892615;0.729092851844;644.3341795497105;23.4891058547;46.15243001472984;0.525960895067;558.4116232710311;33.975382345
40;1224.3819934267406;31.795902259;57.297123483155495;2.62475203672;667.3522621479865;60.2275147274;42.86807645165334;1.30214078854;572.8952199024244;93.9637487968
50;1365.7677384069157;128.901650285;55.26470912302364;6.51955761223;665.7510010880325;142.401828047;37.67345278332227;2.22238230774;521.3391097144855;16.151049563
60;1381.8959343511626;57.1556514476;59.78686183787223;4.1013219756;711.3323667306144;124.993410433;34.878886794470354;2.37072581295;511.7900915202574;128.116060329
70;1409.1546291131647;40.4450116892;58.301407641392125;1.55308214223;708.3693685749989;159.581887415;34.58383953270349;0.723522687693;535.4705730395098;121.417670478
80;1420.0845691236682;117.879063663;58.381773571347246;4.61229864944;695.8819505535007;110.727229148;33.64579424173498;2.66990650848;491.5558482439464;84.540735864
90;1393.9889893078919;28.8510581281;59.781028940647865;2.67011323001;684.2096640251422;49.5001648072;34.529972580300445;1.89102473482;504.4650551593201;102.119708658
100;1399.6528562381297;35.4415729438;61.015445894764945;4.39753416221;681.9422128091861;217.332611133;33.59177965175485;2.84168837786;466.00829818844113;52.2189844661
